x1	Clump_Thickness=1
x2	Clump_Thickness=2
x3	Clump_Thickness=3
x4	Clump_Thickness=4
x5	Clump_Thickness=5
x6	Clump_Thickness=6
x7	Clump_Thickness=7
x8	Clump_Thickness=8
x9	Clump_Thickness=9
x10	Clump_Thickness=10
x11	Uniformity_of_Cell_Size=1
x12	Uniformity_of_Cell_Size=2
x13	Uniformity_of_Cell_Size=3
x14	Uniformity_of_Cell_Size=4
x15	Uniformity_of_Cell_Size=5
x16	Uniformity_of_Cell_Size=6
x17	Uniformity_of_Cell_Size=7
x18	Uniformity_of_Cell_Size=8
x19	Uniformity_of_Cell_Size=9
x20	Uniformity_of_Cell_Size=10
x21	Uniformity_of_Cell_Shape=1
x22	Uniformity_of_Cell_Shape=2
x23	Uniformity_of_Cell_Shape=3
x24	Uniformity_of_Cell_Shape=4
x25	Uniformity_of_Cell_Shape=5
x26	Uniformity_of_Cell_Shape=6
x27	Uniformity_of_Cell_Shape=7
x28	Uniformity_of_Cell_Shape=8
x29	Uniformity_of_Cell_Shape=9
x30	Uniformity_of_Cell_Shape=10
x31	Marginal_Adhesion=1
x32	Marginal_Adhesion=2
x33	Marginal_Adhesion=3
x34	Marginal_Adhesion=4
x35	Marginal_Adhesion=5
x36	Marginal_Adhesion=6
x37	Marginal_Adhesion=7
x38	Marginal_Adhesion=8
x39	Marginal_Adhesion=9
x40	Marginal_Adhesion=10
x41	Single_Epithelial_Cell_Size=1
x42	Single_Epithelial_Cell_Size=2
x43	Single_Epithelial_Cell_Size=3
x44	Single_Epithelial_Cell_Size=4
x45	Single_Epithelial_Cell_Size=5
x46	Single_Epithelial_Cell_Size=6
x47	Single_Epithelial_Cell_Size=7
x48	Single_Epithelial_Cell_Size=8
x49	Single_Epithelial_Cell_Size=9
x50	Single_Epithelial_Cell_Size=10
x51	Bare_Nuclei=1
x52	Bare_Nuclei=2
x53	Bare_Nuclei=3
x54	Bare_Nuclei=4
x55	Bare_Nuclei=5
x56	Bare_Nuclei=6
x57	Bare_Nuclei=7
x58	Bare_Nuclei=8
x59	Bare_Nuclei=9
x60	Bare_Nuclei=10
x61	Bland_Chromatin=1
x62	Bland_Chromatin=2
x63	Bland_Chromatin=3
x64	Bland_Chromatin=4
x65	Bland_Chromatin=5
x66	Bland_Chromatin=6
x67	Bland_Chromatin=7
x68	Bland_Chromatin=8
x69	Bland_Chromatin=9
x70	Bland_Chromatin=10
x71	Normla_Nucleoli=1
x72	Normla_Nucleoli=2
x73	Normla_Nucleoli=3
x74	Normla_Nucleoli=4
x75	Normla_Nucleoli=5
x76	Normla_Nucleoli=6
x77	Normla_Nucleoli=7
x78	Normla_Nucleoli=8
x79	Normla_Nucleoli=9
x80	Normla_Nucleoli=10
x81	Mitoses=1
x82	Mitoses=2
x83	Mitoses=3
x84	Mitoses=4
x85	Mitoses=5
x86	Mitoses=6
x87	Mitoses=7
x88	Mitoses=8
x89	Mitoses=10
Tumor_Class {0,1}

